id,ticker,headline,source,published_at,url,sentiment_score,sentiment_label
490,RELIANCE.NS,"From Rs 2 crore to Rs 5,000 crore! How NSE IPO is a jackpot for SBI with 256,775% profit",The Times of India,2026-06-18 05:21:38,https://economictimes.indiatimes.com/markets/stocks/news/from-rs-2-crore-to-rs-5000-crore-how-nse-ipo-is-a-jackpot-for-sbi-with-256775-profit/articleshow/131818452.cms,0.4926,POSITIVE
197,TSLA,Elon Musk Predicts SpaceX Revenue Could Hit $1 Trillion by 2030,Ibtimes.com.au,2026-06-18 05:18:51,https://www.ibtimes.com.au/elon-musk-spacex-1-trillion-revenue-2030-1870809,0.0,NEUTRAL
198,TSLA,Elon Musk Nears 20% Voting Power In Tesla After Exercising Stock Options,Biztoc.com,2026-06-18 05:04:42,https://biztoc.com/x/ac025286a117c041,0.0,NEUTRAL
491,RELIANCE.NS,"Defence stocks fire up! Paras Defence, BEL, GRSE, other stocks surge up to 24% in 2 days. What's powering the rally?",The Times of India,2026-06-18 05:03:39,https://economictimes.indiatimes.com/markets/stocks/news/defence-stocks-fire-up-paras-defence-bel-grse-other-stocks-surge-up-to-24-in-2-days-whats-powering-the-rally/articleshow/131818181.cms,-0.2244,NEGATIVE
630,INFY.NS,"ET Alpha Wealth Summit | Is alpha dead in Indian markets? Devina Mehra says no, but the game has changed",The Times of India,2026-06-18 04:56:53,https://economictimes.indiatimes.com/markets/expert-view/is-alpha-dead-in-indian-markets-devina-mehra-says-no-but-the-game-has-changed/articleshow/131817599.cms,-0.1406,NEGATIVE
830,WIPRO.NS,"ET Alpha Wealth Summit | Is alpha dead in Indian markets? Devina Mehra says no, but the game has changed",The Times of India,2026-06-18 04:56:53,https://economictimes.indiatimes.com/markets/expert-view/is-alpha-dead-in-indian-markets-devina-mehra-says-no-but-the-game-has-changed/articleshow/131817599.cms,-0.1406,NEGATIVE
730,HDFCBANK.NS,"ET Alpha Wealth Summit | Is alpha dead in Indian markets? Devina Mehra says no, but the game has changed",The Times of India,2026-06-18 04:56:53,https://economictimes.indiatimes.com/markets/expert-view/is-alpha-dead-in-indian-markets-devina-mehra-says-no-but-the-game-has-changed/articleshow/131817599.cms,-0.1406,NEGATIVE
631,INFY.NS,"Sensex, Nifty cautious despite softer crude; IT shares slide after hawkish US Fed commentary",BusinessLine,2026-06-18 04:50:29,https://www.thehindubusinessline.com/markets/sensex-nifty-cautious-despite-softer-crude-it-shares-slide-after-hawkish-us-fed-commentary-infosys-tech-mahindra-hcl-tcs-top-losers/article71116434.ece,0.7578,POSITIVE
100,MSFT,"Sensex, Nifty cautious despite softer crude; IT shares slide after hawkish US Fed commentary",BusinessLine,2026-06-18 04:50:29,https://www.thehindubusinessline.com/markets/sensex-nifty-cautious-despite-softer-crude-it-shares-slide-after-hawkish-us-fed-commentary-infosys-tech-mahindra-hcl-tcs-top-losers/article71116434.ece,0.7578,POSITIVE
392,AMZN,"Sensex, Nifty cautious despite softer crude; IT shares slide after hawkish US Fed commentary",BusinessLine,2026-06-18 04:50:29,https://www.thehindubusinessline.com/markets/sensex-nifty-cautious-despite-softer-crude-it-shares-slide-after-hawkish-us-fed-commentary-infosys-tech-mahindra-hcl-tcs-top-losers/article71116434.ece,0.7578,POSITIVE
492,RELIANCE.NS,Mukesh Ambani’s Promise to Investors on Jio IPO Will Be Tested This Week,Financial Post,2026-06-18 04:39:00,https://financialpost.com/pmn/business-pmn/mukesh-ambanis-promise-to-investors-on-jio-ipo-will-be-tested-this-week,0.3182,POSITIVE
732,HDFCBANK.NS,"NSE IPO: IFCI, IDBI Bank, SBI, other stocks gain up to 3% as NSE files for India's largest IPO. Who else is selling stake?",The Times of India,2026-06-18 04:24:39,https://economictimes.indiatimes.com/markets/ipos/fpos/nse-ipo-ifci-idbi-bank-sbi-other-stocks-gain-up-to-3-nse-files-for-indias-largest-ipo-who-else-is-selling-stake/articleshow/131817250.cms,0.5267,POSITIVE
731,HDFCBANK.NS,"NSE IPO: IFCI, IDBI Bank, SBI, other stocks gain up to 3% as NSE files for India's largest IPO. Who else is selling stake?",The Times of India,2026-06-18 04:24:39,https://economictimes.indiatimes.com/markets/stocks/news/nse-ipo-ifci-idbi-bank-sbi-other-stocks-gain-up-to-3-nse-files-for-indias-largest-ipo-who-else-is-selling-stake/articleshow/131817250.cms,0.5267,POSITIVE
632,INFY.NS,"Sensex trades flat, Nifty below 24,050 as markets snap gaining streak after Fed’s hawkish signal",The Times of India,2026-06-18 04:05:33,https://economictimes.indiatimes.com/markets/stocks/news/sensex-trades-flat-nifty-below-24100-as-markets-snap-gaining-streak-after-feds-hawkish-signal/articleshow/131816682.cms,0.6705,POSITIVE
633,INFY.NS,"ET Alpha Wealth Summit | Wealthy Indians are quietly shifting money into gold, global stocks and AI infrastructure; Rajesh Saluja explains why",The Times of India,2026-06-18 04:03:59,https://economictimes.indiatimes.com/markets/expert-view/wealthy-indians-are-quietly-shifting-money-into-gold-global-stocks-and-ai-infrastructure-rajesh-saluja-explains-why/articleshow/131816763.cms,0.6908,POSITIVE
733,HDFCBANK.NS,"ET Alpha Wealth Summit | Wealthy Indians are quietly shifting money into gold, global stocks and AI infrastructure; Rajesh Saluja explains why",The Times of India,2026-06-18 04:03:59,https://economictimes.indiatimes.com/markets/expert-view/wealthy-indians-are-quietly-shifting-money-into-gold-global-stocks-and-ai-infrastructure-rajesh-saluja-explains-why/articleshow/131816763.cms,0.6908,POSITIVE
831,WIPRO.NS,"ET Alpha Wealth Summit | Wealthy Indians are quietly shifting money into gold, global stocks and AI infrastructure; Rajesh Saluja explains why",The Times of India,2026-06-18 04:03:59,https://economictimes.indiatimes.com/markets/expert-view/wealthy-indians-are-quietly-shifting-money-into-gold-global-stocks-and-ai-infrastructure-rajesh-saluja-explains-why/articleshow/131816763.cms,0.6908,POSITIVE
734,HDFCBANK.NS,NSE IPO: 5 PSU shareholders to offload 2.37 crore shares in mega public offer,The Times of India,2026-06-18 03:32:05,https://economictimes.indiatimes.com/markets/stocks/news/nse-ipo-5-psu-shareholders-to-offload-2-37-crore-shares-in-mega-public-offer/articleshow/131816461.cms,0.296,POSITIVE
393,AMZN,Fitbit Charge 6 Fitness Tracker (Gold/Coral) $80 + Free S&H,Slickdeals.net,2026-06-18 03:05:04,https://slickdeals.net/f/19639755-79-99-fitbit-charge-6-fitness-tracker-gold-coral-at-amazon,0.6597,POSITIVE
